,date,EUR,GBP,DKK,NOK,SEK,CHF
0,Unit:,Currency,Currency,Currency,Currency,Currency,Currency
1,Multiplier:,1,1,1,1,1,1
2,Currency:,EUR,GBP,DKK,NOK,SEK,CHF
3,Unique Identifier: ,H10/H10/RXI$US_N.B.EU,H10/H10/RXI$US_N.B.UK,H10/H10/RXI_N.B.DN,H10/H10/RXI_N.B.NO,H10/H10/RXI_N.B.SD,H10/H10/RXI_N.B.SZ
4,Time Period,RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.DN,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SZ
5,2009-01-01,,,,,,
6,2009-01-02,1.3946,1.4520,5.3400,6.8773,7.7836,1.0685
7,2009-01-05,1.3576,1.4602,5.4845,6.9639,7.9217,1.1077
8,2009-01-06,1.3445,1.4777,5.5426,6.9918,7.8715,1.1212
9,2009-01-07,1.3718,1.5254,5.4311,6.8510,7.7658,1.0941
