direct_control,cyear,SP_ISIN,ids,scope1_abs,scope2_loc_abs,scope3_down_abs,scope3_up_abs
,2002,,100001,226791.3733010162,776410.843207914,,1090777.952565619
,2003,,100001,199429.3447615431,557960.45,,1157230.524892273
,2004,,100001,213257.8816473096,824135.6099999999,,1059148.612962233
,2005,,100001,178020.4088826468,1216896.800000018,,894992.161620413
,2006,,100001,263621.2293994337,1135353.000000004,,950125.4679790944
,2007,,100001,275809.7099999973,997864.979999938,,1089563.432492229
,2008,,100001,312743.8094389024,1497432.009999926,,815486.1429555595
,2009,,100001,334223.97,1608689.01999995,,823159.6246189757
2187539.24176805,2010,FR0000120404,100001,390960.1017999952,1648585.000000035,,611260.756751945
1443440.19457139,2011,FR0000120404,100001,234081.9172,1051437.999999947,,608609.6081933263
1425603.42435438,2012,FR0000120404,100001,221715.9169,1070541.000000006,,525651.5413319743
1759046.69470684,2013,FR0000120404,100001,248462.8982999999,1381298.999999993,,509640.2882939945
1806571.45279551,2014,FR0000120404,100001,245000.05,1434999.999999933,,497204.8316187931
1835574.30634834,2015,FR0000120404,100001,301999.9220000002,1425000.000000017,,421760.4371186919
502482.938202996,2016,FR0000120404,100001,64641.03760000004,406341.8124999694,,129366.5234612845
658066.607226798,2017,FR0000120404,100001,77297.31414461012,541533.7639738693,229.3429194294145,167850.4613558312
1261400.77392732,2018,FR0000120404,100001,146474.5436292996,1041238.111370359,208.0666003017918,315393.9898610893
1233591.49070748,2019,FR0000120404,100001,151490.9175742239,1005953.577403571,124.2430718427687,315897.4805650659
1303439.51,2020,FR0000120404,100001,202501.432,1070202.015,161.4566807561135,129245.975
2828144.174,2021,FR0000120404,100001,452196.078,2333071.0,326.238338866225,188444.972
2996060.148,2022,FR0000120404,100001,,,,
,2002,,100013,31313.66768301039,50893.40656210839,,643189.5727066605
,2003,,100013,34013.23854150844,53218.51436212554,,659573.3780767836
,2004,,100013,37082.05259968078,55993.73939897921,,638021.1713843909
,2005,,100013,17784.5464966623,44038.30435845902,,496722.6872097146
,2006,,100013,14015.619849824,102200.0300000623,,534416.5385240681
,2007,,100013,12373.1793526232,105657.970000043,,573662.0716366096
,2008,,100013,11287.59,96979.97999996548,,499157.8227827906
,2009,,100013,10920.88,95164.02000004,,643681.0736237178
441639.085268899,2010,FR0000120966,100013,11868.35210000002,85659.99999997734,,735679.8595239491
487756.413742468,2011,FR0000120966,100013,9909.346899999951,85807.99999999363,,834229.7136932985
422127.765534172,2012,FR0000120966,100013,9128.223062869169,82909.95550004017,,703782.6101439117
426236.665196987,2013,FR0000120966,100013,9544.2952,82574.99999999475,,712379.9005291759
446521.887152405,2014,FR0000120966,100013,8935.6041,85433.99999997373,,758268.3182591406
433211.080518235,2015,FR0000120966,100013,9270.0779,89579.99999998025,,714705.6271789547
412678.485020474,2016,FR0000120966,100013,8684.161900000001,89742.00000010393,,690877.7645980769
485446.582675043,2017,FR0000120966,100013,8457.723855317601,92408.99999996196,32.44638574885475,836337.1011533167
439256.933239566,2018,FR0000120966,100013,9835.331,88470.00000001525,32.68013037348585,749047.8668123418
407666.449334373,2019,FR0000120966,100013,9297.962476475996,88432.00000005809,204.0032416944508,665569.7979495581
362174.07,2020,FR0000120966,100013,8556.454,70387.0,197.8030165434641,593740.525
423470.623,2021,FR0000120966,100013,9282.397,75231.0,168.9015073617944,721296.936
815171.002,2022,FR0000120966,100013,,,,
,2002,,100022,403649.0083547256,684389.7799999999,,19344546.12678909
,2003,,100022,298188.3068714766,850309.35,,22322383.39773192
,2004,,100022,356140.7510698121,836762.2199999999,,21789508.79005022
,2005,,100022,419600.7569394352,915054.4699999832,,17834787.60693576
,2006,,100022,363386.6396804607,949508.7700000196,,18592344.02331028
,2007,,100022,361482.3208418728,944246.0300001416,,21199492.92148231
,2008,,100022,315809.8680064225,875036.0099999926,,16650355.89659168
,2009,,100022,296691.3186,847500.0000000077,,17215818.81387682
3448855.31480318,2010,DE0005190003,100022,416065.8332999999,933096.9999999847,,18268403.97731025
4101274.98843393,2011,DE0005190003,100022,454521.6749999999,956026.00000006,,22937304.0003336
3612924.77867903,2012,DE0005190003,100022,492508.19,815511.3520372221,,20928899.41305591
3747487.40794913,2013,DE0005190003,100022,500619.8300000001,933623.1643774244,,21436980.37939933
4021601.68972571,2014,DE0005190003,100022,522082.8243272207,1071757.509962121,,22247236.06368174
3844187.2899268,2015,DE0005190003,100022,544333.2971370083,923313.0000000134,,21694552.12998892
4531899.43716038,2016,DE0005190003,100022,570470.0566856152,1532447.999999967,,23345379.82190686
4985641.91723551,2017,DE0005190003,100022,634353.2737088354,1572432.000000013,448.3274661445586,27758637.6178795
4720296.62547028,2018,DE0005190003,100022,591589.3311125578,1539378.000000041,511.3590193280891,25223892.52590855
4618081.24831455,2019,DE0005190003,100022,651272.5434761134,1420171.999999986,525.1544850195904,24414991.15074746
4325237.145,2020,DE0005190003,100022,644242.462,1264296.375,495.0610505904296,22729923.92
5490161.827,2021,DE0005190003,100022,1207032.897,1404348.0,770.3342859025597,27931354.894
5419654.733,2022,DE0005190003,100022,,,,
,2002,,100041,76346.38276753321,262012.6306247625,,536811.3454045018
,2003,,100041,74813.67028303887,250989.3491198794,,500658.6442732858
,2004,,100041,76664.91943421855,243163.0685871853,,445629.0524789814
,2005,,100041,85674.81498729857,23257.96999998298,,409354.7255771476
,2006,,100041,24288.80737926253,30580.39000001149,,213629.5956205059
,2007,,100041,23259.4765427275,53097.37000001065,,208420.3457348635
,2008,,100041,22606.78887162579,54426.04000002475,,171609.2886623241
