region,year,months,n_listings_pre,n_listings_kept,pct_listings_dropped,cum_threshold_mean,size_floor_mean,size_floor_min,size_floor_max,size_floor_dec
Europe,2016,12,5064.0,1168.4166666666667,76.92673548094317,560152090056.654,867541528.9169788,813138160.7811612,902342807.1607039,861959986.2204725
Europe,2017,12,5019.333333333333,1214.25,75.7843221474516,658960181707.3926,979251172.1668226,861399817.04616,1067060600.7966222,1040952082.944823
Europe,2018,12,5099.5,1231.9166666666667,75.84204173419472,681600264712.5851,987656813.4819027,838848793.347843,1083801355.4472,838848793.347843
Europe,2019,12,5065.333333333333,1173.8333333333333,76.82633734448954,652667759631.1686,967902762.989449,905743239.2764,1068250994.9999999,1068250994.9999999
Europe,2020,12,4999.166666666667,1149.75,77.00284576443156,640643404222.7294,969536399.9718233,820593310.3030914,1127361411.5693977,1127361411.5693977
Europe,2021,12,5231.0,1258.5833333333333,75.93435951361253,843845564711.999,1170961426.3636281,1070751515.4352049,1251169953.8141296,1222129273.99856
Europe,2022,12,5379.583333333333,1196.9166666666667,77.75392487918025,723646126606.3983,1028631644.9142016,854515206.537831,1153817555.0738494,1031210154.0738001
Europe,2023,12,5355.166666666667,1073.5833333333333,79.95438119388861,768698678302.2184,1172807751.7600625,1083967732.203296,1306316730.74375,1306316730.74375
Europe,2024,12,5193.0,1016.0833333333334,80.43371660742116,827038967860.5465,1374209144.1512623,1295553612.2044952,1480056000.0,1337512881.6
Japan,2016,12,3484.3333333333335,1144.5,67.15463830538873,27192292161647.453,39858000317.166664,36290380500.0,43439616696.0,43134522000.0
Japan,2017,12,3540.9166666666665,1233.9166666666667,65.15451080487426,32193368912380.74,44895316774.5,41862702000.0,49341951459.0,49341951459.0
Japan,2018,12,3606.75,1269.1666666666667,64.80774613454024,34155536696539.266,46232744195.75,40760220000.0,49037402400.0,40760220000.0
Japan,2019,12,3662.5833333333335,1225.3333333333333,66.54451811233939,32086536411246.184,43523528178.916664,41314561380.0,45659337784.0,44923417500.0
Japan,2020,12,3716.6666666666665,1208.25,67.48982928206978,31948290985145.31,42267156363.5,38046795000.0,48048681600.0,48048681600.0
Japan,2021,12,3785.3333333333335,1183.9166666666667,68.72096586954136,37911910087971.9,50332759727.916664,47327643000.0,53610315000.0,52018733100.0
Japan,2022,12,3842.75,1148.0,70.12589404904764,36852252264342.98,49391672294.916664,47059352000.0,50802110450.0,48533508800.0
Japan,2023,12,3878.5,1140.9166666666667,70.58140531566742,41637959585236.57,57124707853.333336,50745315440.0,61976850000.0,61750436550.0
Japan,2024,12,3898.6666666666665,1064.0,72.70872533318246,49931177922298.49,73030201321.66667,67288088000.0,76566400000.0,76566400000.0
United_States,2016,12,3165.1666666666665,1157.8333333333333,63.412868026954726,1151084003346.683,2142670183.3333333,1934144520.0,2306774800.0,2306774800.0
United_States,2017,12,3084.5,1154.3333333333333,62.5765177667802,1323498639306.5144,2478936469.5833335,2341098000.0,2676054360.0,2676054360.0
United_States,2018,12,3013.9166666666665,1130.9166666666667,62.47886436148716,1413281523986.2554,2648191313.3333335,2340332740.0,2794871500.0,2340332740.0
United_States,2019,12,2904.5,1040.0,64.19828777682238,1452326847093.6992,2867620003.3333335,2603906880.0,3129981600.0,3129981600.0
United_States,2020,12,2829.9166666666665,920.1666666666666,67.4864150566301,1501918377788.0046,3201243796.6666665,2556867240.0,3674886690.0,3674886690.0
United_States,2021,12,2903.5833333333335,980.0,66.24110317529185,2009232498893.72,3998980240.0,3574948850.0,4412682550.0,4412682550.0
United_States,2022,12,2933.1666666666665,932.75,68.20210550103975,1918159938128.1602,3927438385.0,3456692220.0,4275133280.0,3857837880.0
United_States,2023,12,2777.25,852.6666666666666,69.30589239005643,1983870329401.623,4401636021.666667,4009848570.0,4942368690.0,4942368690.0
United_States,2024,12,2657.25,781.6666666666666,70.58635583291276,2429459321797.9043,5720431356.666667,4950834720.0,6407838000.0,6150527900.0
