region,sample,year,n_listing_months,n_firms,mean,total,p1,p5,p10,p25,p50,p75,p90,p95,p99
United_States,Compustat only,2016,37982,3302,7273449549.871089,276260160803203.72,8635627.0,30865960.000000004,63762898.000000015,220474110.0,1039802160.0,4077661950.0,14664317188.000008,30491240654.999992,119631500661.00017
United_States,Compustat only,2017,37014,3215,8581608943.469046,317639673433563.25,9255538.6,35320687.5,76725090.0,285964425.0,1281416350.0,4923610205.0,17448981066.000015,36335848516.49999,143864802572.00003
United_States,Compustat only,2018,36167,3115,9378371602.751154,339187565756701.0,10379031.320000002,38026038.00000001,83368132.0,309765930.0,1411138560.0,5240257245.0,18634013208.00002,39378100299.99999,148254451982.7993
United_States,Compustat only,2019,34854,3007,10000529158.84798,348558443302487.5,8085061.42,35530380.0,77699958.0,292428540.0,1369634975.0,5413018432.5,20170124478.00001,42119377628.99999,153632564321.80005
United_States,Compustat only,2020,33959,2928,10614576715.130623,360460410669120.8,8336599.36,32159248.000000004,65228908.00000001,236651015.0,1198396560.0,5024642950.0,20263012512.0,42312111569.99996,169584105513.19992
United_States,Compustat only,2021,34843,3107,13839675106.463058,482215799734492.4,20302793.688,62238605.00000001,118165884.00000001,346261000.0,1681209320.0,6797026500.0,26205708359.999996,52531244052.000046,211739913149.20187
United_States,Compustat only,2022,35198,3034,13079106345.552532,460358385150758.0,14611195.46,49684804.50000001,101539192.0,289073075.0,1367729610.0,5864072842.5,25234373764.999996,52813114343.5001,196357943551.49948
United_States,Compustat only,2023,33327,2894,14286580822.047861,476128879056389.06,9718612.22,35495215.00000001,71584480.0,277696810.0,1394771840.0,6227513915.0,27822777812.000004,55694049983.99999,204060188200.19864
United_States,Compustat only,2024,31887,2762,18285515640.5901,583070237231496.5,8156712.024,32243400.0,73679872.0,310344485.0,1664000000.0,7563629365.0,33224885472.000008,69502872024.9999,233532168783.19998
United_States,Compustat n LC (gvkey),2016,12983,1090,14737644384.396978,191338837042625.97,33605398.6,115603095.0,270416718.0,835670620.0,2718335700.0,9895058940.0,32858901964.000015,66919534361.99999,213869524044.80054
United_States,Compustat n LC (gvkey),2017,13227,1116,16777531520.761889,221916409425117.5,38144820.0,166300183.0,314062320.0000001,1044454360.0,3229360950.0,11330097095.0,37748931857.99999,78115031504.9998,216001763153.8
United_States,Compustat n LC (gvkey),2018,13395,1128,18017101604.07024,241339075986520.88,49160287.4,185140428.00000003,345218530.0,1140740480.0,3294700890.0,12231126625.0,40746882152.000015,84683329751.99995,231956574478.5999
United_States,Compustat n LC (gvkey),2019,13402,1126,18645692020.352314,249889564456761.72,45410384.36,171172985.5,322767567.0,1016633700.0,2982993210.0,11879854560.0,42289119255.99993,82392067007.99992,249591753309.2999
United_States,Compustat n LC (gvkey),2020,13495,1143,19911336073.646454,268703480313858.88,36070782.6,127239105.00000001,233000256.00000003,817332590.0,2680046520.0,11185970610.0,42113993442.00001,86613313458.99994,261225657283.19913
United_States,Compustat n LC (gvkey),2021,13700,1158,26268026030.00364,359871956611049.9,68905325.5,201692666.5,386117120.00000006,1312319730.0,4038209400.0,15247784627.5,51436773342.000015,119087063858.49991,327040915845.70013
United_States,Compustat n LC (gvkey),2022,13625,1152,25487816076.90375,347271494047813.6,49151748.0,169570904.0,365428920.0,1200308220.0,3782150080.0,14346178650.0,52842625024.00002,116857643279.9999,330109095635.2001
United_States,Compustat n LC (gvkey),2023,13385,1133,27539949937.999084,368622229920117.75,40536030.4,157153248.00000003,350820924.00000006,1126925020.0,3948769180.0,14494476710.0,54703704882.000015,118261384811.99997,368584261375.2
United_States,Compustat n LC (gvkey),2024,12988,1097,35373561189.4005,459431812727933.6,38883613.612,173613668.0,376554192.0,1313536057.5,4682690400.0,17012506730.0,67467334060.00008,135292851033.49988,445959047533.69904
United_States,"Compustat x LC (gvkey,fiscal-year)",2017,1869,313,41966694485.06581,78435751992588.0,214538736.0,980357508.0,1873084506.0,4636717770.0,14774133860.0,42197400000.0,99720898000.00003,192693642767.99997,352987083943.2
United_States,"Compustat x LC (gvkey,fiscal-year)",2018,3887,412,43351374677.064575,168506793369750.0,267474100.2,885766516.0,1751523790.0,4759752585.0,14893946700.0,42626064090.0,107769279292.00002,201433067201.99994,344118607377.59985
United_States,"Compustat x LC (gvkey,fiscal-year)",2019,4411,463,43192179963.571754,190520705819315.0,285547239.0,873867170.0,1527222200.0,4089991920.0,12920327280.0,42212276050.0,112399006080.0,212027225160.0,339574546775.9997
United_States,"Compustat x LC (gvkey,fiscal-year)",2020,5381,570,40112319485.159836,215844391149645.1,196204406.00000003,535596300.0,957464820.0,2599175900.0,8763995240.0,31121359800.0,97829675880.0,175559850000.0,355611770751.99994
United_States,"Compustat x LC (gvkey,fiscal-year)",2021,7180,763,42422833861.799545,304595947127720.75,170408713.50000003,652021904.0,1129136530.0000002,2860837770.0,8681889140.0,31910809695.0,98879025554.00003,190540886693.99997,393950094595.4
United_States,"Compustat x LC (gvkey,fiscal-year)",2022,8990,912,35572994753.912056,319801222837669.4,93702732.796,445820004.00000006,794576373.0000001,2099473850.0,6157223440.0,25658411710.0,78334400106.00009,153075202547.99997,366438555424.8009
United_States,"Compustat x LC (gvkey,fiscal-year)",2023,10211,1028,33526285255.293648,342336898741803.44,52677770.0,268964170.0,565004380.0,1661922345.0,5150385000.0,19645851520.0,69643440900.0,135170266915.0,396748099913.99963
United_States,"Compustat x LC (gvkey,fiscal-year)",2024,9256,983,42257682070.09061,391137105240758.7,56414280.0,287952675.0,615766920.0,1871026255.0,6163092450.0,23130932340.0,79447471800.0,153372420315.0,472336942633.5006
Europe,Compustat only,2016,60768,5478,2212291034.978884,134436501613596.84,393881.61538235995,2390114.2349478,5507480.959523775,20953630.2906875,113257640.90224919,727285519.8864844,3683980916.307018,9186191458.427032,43387662967.75033
Europe,Compustat only,2017,60232,5559,2625688066.3065157,158150443609774.06,568693.3865077741,3073273.8355374746,7147373.658576801,27411827.610150002,150123632.42362577,913590281.7495,4484663645.573111,11013593230.426912,51038067061.54444
Europe,Compustat only,2018,61194,5539,2673204293.4114504,163584063531020.28,759027.3568811506,3680145.5042343754,8120946.500272501,29796449.83579129,153393997.44,914853961.0776381,4567708679.40825,11237533131.599375,51436469172.031044
Europe,Compustat only,2019,60784,5464,2576998261.2444115,156640262311480.3,586654.4745997665,3101291.03834127,6915193.36204,25762872.766000003,135974057.65996003,822189663.967875,4275052065.0000067,10641690991.287382,48994733900.096886
Europe,Compustat only,2020,59990,5435,2563000783.688197,153754417013454.94,778272.2390530593,3572256.714331968,7113445.874837401,26418115.021710236,133006542.91319999,810954248.9826376,4316178244.590443,10745731892.37034,46927147488.314674
Europe,Compustat only,2021,62772,5797,3226325997.751857,202522935530879.56,1571089.2484796161,5914864.545537563,11124387.06094727,38562914.775000006,187521926.955881,1066698543.6114535,5419260072.007225,13523424964.232609,60042164920.23406
