floor_bn,region,year,n_kept,pct_dropped,pct_cap_retained
1.0,United_States,2016,1602,49.4,97.9
1.0,United_States,2020,1501,46.9,98.66
1.0,United_States,2024,1546,41.8,99.28
1.0,Europe,2016,1096,78.4,94.4
1.0,Europe,2020,1130,77.4,94.83
1.0,Europe,2024,1177,77.3,96.15
1.0,Japan,2016,664,81.0,89.03
1.0,Japan,2020,720,80.6,89.85
1.0,Japan,2024,692,82.2,91.1
2.0,United_States,2016,1199,62.1,95.37
2.0,United_States,2020,1154,59.2,96.97
2.0,United_States,2024,1247,53.1,98.39
2.0,Europe,2016,753,85.1,89.98
2.0,Europe,2020,805,83.9,91.21
2.0,Europe,2024,843,83.8,93.25
2.0,Japan,2016,422,87.9,82.22
2.0,Japan,2020,451,87.9,83.54
2.0,Japan,2024,432,88.9,85.52
3.0,United_States,2016,952,69.9,92.72
3.0,United_States,2020,950,66.4,95.29
3.0,United_States,2024,1070,59.7,97.48
3.0,Europe,2016,575,88.6,86.13
3.0,Europe,2020,636,87.3,87.93
3.0,Europe,2024,674,87.0,90.75
3.0,Japan,2016,320,90.8,77.19
3.0,Japan,2020,339,90.9,78.99
3.0,Japan,2024,321,91.8,81.4
5.0,United_States,2016,693,78.1,88.35
5.0,United_States,2020,709,74.9,92.17
5.0,United_States,2024,840,68.4,95.64
5.0,Europe,2016,413,91.8,80.5
5.0,Europe,2020,456,90.9,82.56
5.0,Europe,2024,489,90.6,86.39
5.0,Japan,2016,199,94.3,67.66
5.0,Japan,2020,228,93.9,71.76
5.0,Japan,2024,209,94.6,74.77
