region,year,us_floor_bn,coverage_needed,resulting_floor_bn,listings_kept,listings_pre,pct_dropped,us_listings_kept,us_pct_dropped
Europe,2016,2.1426701833333333,0.8934,2.141625640547387,719.0,5064.0,85.8,1158.0,63.4
Europe,2017,2.4789364695833336,0.8939,2.4789795128783068,752.0,5019.0,85.0,1154.0,62.6
Europe,2018,2.6481913133333337,0.89,2.6473363992908383,739.0,5100.0,85.5,1131.0,62.5
Europe,2019,2.8676200033333337,0.8848,2.867914753244954,675.0,5065.0,86.7,1040.0,64.2
Europe,2020,3.2012437966666667,0.8732,3.201075225193771,609.0,4999.0,87.8,920.0,67.5
Europe,2021,3.99898024,0.8702,3.9996723768586104,649.0,5231.0,87.6,980.0,66.2
Europe,2022,3.927438385,0.8568,3.9276432224083635,544.0,5380.0,89.9,933.0,68.2
Europe,2023,4.401636021666667,0.8622,4.400915199406661,506.0,5355.0,90.6,853.0,69.3
Europe,2024,5.720431356666667,0.85,5.7222570794535725,446.0,5193.0,91.4,782.0,70.6
Japan,2016,2.1426701833333333,0.8141,2.140001345404667,403.0,3484.0,88.4,1158.0,63.4
Japan,2017,2.4789364695833336,0.8053,2.479460957171603,404.0,3541.0,88.6,1154.0,62.6
Japan,2018,2.6481913133333337,0.8019,2.6457749043863346,406.0,3607.0,88.7,1131.0,62.5
Japan,2019,2.8676200033333337,0.7956,2.864747740304434,369.0,3663.0,89.9,1040.0,64.2
Japan,2020,3.2012437966666667,0.7827,3.2016475443239365,325.0,3717.0,91.3,920.0,67.5
Japan,2021,3.99898024,0.774,3.998920302286602,296.0,3785.0,92.2,980.0,66.2
Japan,2022,3.927438385,0.7546,3.927168891947946,252.0,3843.0,93.4,933.0,68.2
Japan,2023,4.401636021666667,0.7463,4.402963825193305,235.0,3878.0,93.9,853.0,69.3
Japan,2024,5.720431356666667,0.7347,5.7207191310575265,193.0,3899.0,95.0,782.0,70.6
