,Low people,High people,Low planet,High planet,Low prosperity,High prosperity
alpha,0.12,0.06,0.1,0.21,0.18,0.03
beta_mkt,0.98,1.02,1.0,0.95,1.03,1.0
beta_smb,0.13,0.2,0.2,0.12,0.06,0.17
beta_hml,0.17,0.32,0.28,0.13,0.34,0.25
beta_rmw,0.11,0.18,0.17,0.11,0.08,0.14
beta_cma,0.07,0.04,0.03,0.09,-0.13,0.13
p-value(alpha),0.28,0.61,0.42,0.08,0.1,0.8
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.02,0.0,0.0,0.08,0.35,0.0
p-value(beta_hml),0.0,0.0,0.0,0.07,0.0,0.0
p-value(beta_rmw),0.18,0.05,0.03,0.23,0.32,0.04
p-value(beta_cma),0.39,0.68,0.75,0.33,0.14,0.13
Adj. R^2,0.92,0.92,0.93,0.9,0.94,0.94
