# base_none_EU

## ff3_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.142          0.114           0.114           -0.142                0.256                 -0.256
         beta_mkt         1.001          1.141           1.141            1.001                0.140                 -0.140
         beta_smb        -0.051          0.288           0.288           -0.051                0.338                 -0.338
         beta_hml        -0.031          0.262           0.262           -0.031                0.292                 -0.292
         beta_mom         0.003         -0.056          -0.056            0.003               -0.059                  0.059
   p-value(alpha)         0.249          0.466           0.466            0.249                0.178                  0.178
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.003                  0.003
p-value(beta_smb)         0.513          0.002           0.002            0.513                0.003                  0.003
p-value(beta_hml)         0.499          0.000           0.000            0.499                0.000                  0.000
p-value(beta_mom)         0.945          0.381           0.381            0.945                0.353                  0.353
         Adj. R^2         0.953          0.950           0.950            0.953                0.455                  0.455

## ff5_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.149          0.062           0.062           -0.149                0.211                 -0.211
         beta_mkt         0.998          1.125           1.125            0.998                0.127                 -0.127
         beta_smb        -0.072          0.203           0.203           -0.072                0.275                 -0.275
         beta_hml        -0.016          0.320           0.320           -0.016                0.336                 -0.336
         beta_rmw        -0.037         -0.137          -0.137           -0.037               -0.100                  0.100
         beta_cma        -0.061         -0.310          -0.310           -0.061               -0.249                  0.249
         beta_mom         0.003         -0.047          -0.047            0.003               -0.050                  0.050
   p-value(alpha)         0.266          0.703           0.703            0.266                0.285                  0.285
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.010                  0.010
p-value(beta_smb)         0.405          0.075           0.075            0.405                0.028                  0.028
p-value(beta_hml)         0.858          0.002           0.002            0.858                0.007                  0.007
p-value(beta_rmw)         0.793          0.401           0.401            0.793                0.588                  0.588
p-value(beta_cma)         0.657          0.072           0.072            0.657                0.125                  0.125
p-value(beta_mom)         0.953          0.441           0.441            0.953                0.440                  0.440
         Adj. R^2         0.952          0.950           0.950            0.952                0.449                  0.449

