# base_none_JP

## ff3_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.258         -0.001          -0.001           -0.258                0.257                 -0.257
         beta_mkt         1.049          1.043           1.043            1.049               -0.006                  0.006
         beta_smb         0.064         -0.089          -0.089            0.064               -0.153                  0.153
         beta_hml         0.063         -0.264          -0.264            0.063               -0.327                  0.327
   p-value(alpha)         0.110          0.994           0.994            0.110                0.290                  0.290
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.927                  0.927
p-value(beta_smb)         0.525          0.376           0.376            0.525                0.297                  0.297
p-value(beta_hml)         0.211          0.000           0.000            0.211                0.000                  0.000
         Adj. R^2         0.872          0.845           0.845            0.872                0.187                  0.187

## ff5_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.294         -0.026          -0.026           -0.294                0.268                 -0.268
         beta_mkt         1.082          1.048           1.048            1.082               -0.034                  0.034
         beta_smb         0.014         -0.086          -0.086            0.014               -0.100                  0.100
         beta_hml        -0.035         -0.224          -0.224           -0.035               -0.189                  0.189
         beta_rmw         0.109          0.156           0.156            0.109                0.047                 -0.047
         beta_cma         0.314          0.081           0.081            0.314               -0.233                  0.233
   p-value(alpha)         0.070          0.900           0.900            0.070                0.279                  0.279
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.633                  0.633
p-value(beta_smb)         0.896          0.439           0.439            0.896                0.514                  0.514
p-value(beta_hml)         0.748          0.062           0.062            0.748                0.196                  0.196
p-value(beta_rmw)         0.576          0.508           0.508            0.576                0.847                  0.847
p-value(beta_cma)         0.021          0.617           0.617            0.021                0.271                  0.271
         Adj. R^2         0.875          0.842           0.842            0.875                0.179                  0.179

