# base_none_US

## ff3_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.069          0.370           0.370           -0.069                0.439                 -0.439
         beta_mkt         0.909          1.133           1.133            0.909                0.224                 -0.224
         beta_smb        -0.212         -0.036          -0.036           -0.212                0.176                 -0.176
         beta_hml         0.118          0.063           0.063            0.118               -0.055                  0.055
         beta_mom        -0.124         -0.043          -0.043           -0.124                0.080                 -0.080
   p-value(alpha)         0.722          0.065           0.065            0.722                0.146                  0.146
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.001                  0.001
p-value(beta_smb)         0.008          0.616           0.616            0.008                0.116                  0.116
p-value(beta_hml)         0.006          0.174           0.174            0.006                0.400                  0.400
p-value(beta_mom)         0.025          0.481           0.481            0.025                0.261                  0.261
         Adj. R^2         0.874          0.908           0.908            0.874                0.141                  0.141

## ff5_parts_df

           metric  Low Material  High Material  Low Immaterial  High Immaterial  High - Low Material  High - Low Immaterial
            alpha        -0.103          0.377           0.377           -0.103                0.481                 -0.481
         beta_mkt         0.907          1.110           1.110            0.907                0.203                 -0.203
         beta_smb        -0.112         -0.046          -0.046           -0.112                0.066                 -0.066
         beta_hml         0.092          0.185           0.185            0.092                0.093                 -0.093
         beta_rmw         0.090          0.050           0.050            0.090               -0.040                  0.040
         beta_cma         0.090         -0.263          -0.263            0.090               -0.352                  0.352
         beta_mom        -0.115         -0.014          -0.014           -0.115                0.101                 -0.101
   p-value(alpha)         0.603          0.039           0.039            0.603                0.081                  0.081
p-value(beta_mkt)         0.000          0.000           0.000            0.000                0.007                  0.007
p-value(beta_smb)         0.282          0.636           0.636            0.282                0.692                  0.692
p-value(beta_hml)         0.270          0.004           0.004            0.270                0.422                  0.422
p-value(beta_rmw)         0.484          0.765           0.765            0.484                0.881                  0.881
p-value(beta_cma)         0.481          0.004           0.004            0.481                0.039                  0.039
p-value(beta_mom)         0.044          0.820           0.820            0.044                0.165                  0.165
         Adj. R^2         0.868          0.913           0.913            0.868                0.156                  0.156

