,Low Advocacy,High Advocacy,Low Prep,High Prep,Low Transf,High Transf,Low Combined,High Combined
alpha,1.18,1.12,1.15,1.1,1.07,1.27,1.08,1.19
beta_mkt,-0.13,-0.1,-0.12,-0.11,-0.1,-0.13,-0.11,-0.13
beta_smb,-0.58,-0.7,-0.65,-0.6,-0.67,-0.64,-0.72,-0.64
beta_hml,-0.58,-0.53,-0.56,-0.49,-0.52,-0.62,-0.55,-0.55
beta_rmw,-1.39,-1.4,-1.31,-1.5,-1.3,-1.46,-1.36,-1.39
beta_cma,0.21,0.27,0.28,0.14,0.19,0.21,0.24,0.13
p-value(alpha),0.03,0.04,0.03,0.05,0.05,0.02,0.05,0.03
p-value(beta_mkt),0.36,0.47,0.37,0.46,0.47,0.32,0.4,0.35
p-value(beta_smb),0.14,0.08,0.1,0.16,0.1,0.09,0.07,0.09
p-value(beta_hml),0.12,0.16,0.13,0.21,0.18,0.08,0.14,0.12
p-value(beta_rmw),0.01,0.01,0.01,0.01,0.02,0.0,0.01,0.01
p-value(beta_cma),0.72,0.67,0.63,0.82,0.76,0.72,0.68,0.82
Adj. R^2,0.0,0.01,0.0,0.01,-0.0,0.01,0.0,0.01
